date,open,high,low,close,volume
2018-01-02,123.4915,124.4606,123.2396,124.4025,83545
2018-01-03,124.7029,126.2104,124.5866,126.1081,162349
2018-01-04,127.2516,128.0754,127.2419,128.0754,161798
2018-01-05,128.996,129.7325,128.9669,129.7228,135309
2018-01-08,129.8391,130.6241,129.4902,130.6047,131364
2018-01-09,129.6841,129.6937,128.9766,129.5871,148287
2018-01-10,132.5041,133.0468,131.8839,132.1843,389548
2018-01-11,132.4654,132.6786,131.4381,132.6786,180325
2018-01-12,132.4654,132.9596,132.2231,132.9596,101568
2018-01-16,134.8978,135.1885,133.3375,133.7058,258131
2018-01-17,136.2739,136.6325,135.3339,136.3708,394997
2018-01-18,134.9656,135.0044,134.1322,134.3454,173977
2018-01-19,135.5665,135.9735,135.0528,135.5277,170634
2018-01-22,134.6749,135.0916,134.3938,135.0916,249812
2018-01-23,135.3145,135.3145,134.6516,134.9753,164831
2018-01-24,135.1982,135.3339,134.2194,134.733,236838
2018-01-25,135.1304,135.1304,133.4538,133.9093,270935
2018-01-26,135.0431,135.4211,134.607,135.2466,319295
2018-01-29,135.6246,136.1188,135.1524,135.2176,249555
2018-01-30,135.6537,135.9347,134.9462,135.3048,217189
2018-01-31,134.171,134.2388,132.9111,133.6573,224578
2018-02-01,133.9674,134.9462,133.9481,134.5101,170017
2018-02-02,134.607,134.6942,132.3684,132.3975,253194
2018-02-05,131.3121,131.9033,127.2516,127.8525,313861
2018-02-06,130.1977,135.1691,129.1317,134.4714,513279
2018-02-07,133.0953,134.4908,132.6204,132.6495,217796
2018-02-08,133.9287,134.0159,130.2558,130.2752,387696
2018-02-09,132.9208,133.386,128.916,132.3491,433050
2018-02-12,133.5023,134.8396,132.5623,134.4714,255120
2018-02-13,129.9554,131.1086,129.6647,130.8663,300097
2018-02-14,128.6374,131.3897,128.0754,131.2831,262617
2018-02-15,130.8276,131.1474,129.9845,131.0989,218512
2018-02-16,131.7288,132.5332,131.6998,131.9905,158687
2018-02-20,131.506,132.3684,131.2152,131.6513,128940
2018-02-21,131.6222,132.2909,130.6338,130.6338,144280
2018-02-22,131.4284,131.9808,130.7791,131.0505,148058
2018-02-23,131.8645,132.8433,131.535,132.7948,101926
2018-02-26,133.1243,134.2776,132.8239,134.1516,125592
2018-02-27,133.4732,133.6864,131.8161,131.8257,150789
2018-02-28,131.9614,132.0099,130.4109,130.4399,135574
2018-03-01,129.3546,129.4321,125.4976,126.3601,444166
2018-03-02,125.1778,126.6896,124.6254,126.5539,214253
2018-03-05,125.3038,127.3582,124.9743,126.9318,161486
2018-03-06,127.6102,127.7652,126.6992,127.2807,194982
2018-03-07,125.4782,125.9821,124.4413,125.8077,284168
2018-03-08,125.2068,125.798,124.7514,125.5557,233875
2018-03-09,124.6448,126.1081,123.9083,125.6914,473064
2018-03-12,126.0209,126.9512,126.0209,126.3116,143990
2018-03-13,126.6217,127.116,125.6575,125.9821,174175
2018-03-14,127.1547,127.1547,125.8561,125.9821,116115
2018-03-15,126.5248,126.9512,125.9143,126.3601,102429
2018-03-16,126.0596,126.3794,125.8852,125.8949,91370
2018-03-19,125.1681,125.3522,123.3171,123.8889,179586
2018-03-20,124.5769,125.391,124.5479,125.2553,69080
2018-03-21,125.2941,126.1759,124.887,125.2844,110546
2018-03-22,124.3444,124.6738,123.0264,123.0942,177353
2018-03-23,122.5418,122.8035,120.6133,120.6521,223184
2018-03-26,122.3674,123.5497,121.3789,123.3753,158696
2018-03-27,125.4782,126.0887,123.6078,124.0827,347651
2018-03-28,126.4084,127.9169,126.3394,127.5521,348488
2018-03-29,128.1732,129.1099,127.2662,128.538,165151
2018-04-02,127.138,127.138,124.0816,124.8112,260047
2018-04-03,125.3238,126.6647,125.1365,126.5464,233062
2018-04-04,124.1999,126.1175,124.0027,125.9647,396405
2018-04-05,125.5506,126.0929,125.1464,125.6098,437292
2018-04-06,124.3478,124.7323,122.6965,123.6083,420646
2018-04-09,124.4759,125.4323,123.9632,124.3971,233152
2018-04-10,126.1816,126.7239,125.9675,126.4577,314229
2018-04-11,126.2112,126.7239,125.9253,126.014,154987
2018-04-12,126.7732,127.2037,126.4971,126.8225,134548
2018-04-13,127.0394,127.1342,126.4183,126.7239,89014
2018-04-16,127.345,127.5225,126.9014,127.0098,137262
2018-04-17,127.1676,127.5915,126.7042,127.5225,174068
2018-04-18,127.6507,127.8084,127.207,127.2563,199590
2018-04-19,126.9802,126.9802,126.2013,126.6845,148156
2018-04-20,127.138,127.5225,126.9901,127.4141,214614
2018-04-23,127.5422,127.5521,126.9309,127.2563,117628
2018-04-24,128.6662,128.8042,127.2662,127.6507,145628
2018-04-25,128.893,129.4254,128.7057,129.2578,181551
2018-04-26,129.5536,130.017,129.2676,129.7606,105838
