Date,Open,High,Low,Close,Volume
2020-07-02,127.2,127.53,126.135,126.39,326479
2020-07-01,124.76,125.04,124.03,124.14,255131
2020-06-30,125.51,126.12,124.87,125.63,222077
2020-06-29,126.47,127.0,125.93,126.89,242594
2020-06-26,127.91,127.91,125.9,126.16,229724
2020-06-25,126.45,127.8,126.01,127.77,192006
2020-06-24,129.4,129.42,127.0,127.8,433596
2020-06-23,130.17,130.305,128.97,129.09,244765
2020-06-22,127.93,128.33,127.18,128.13,124589
2020-06-19,129.0,129.09,127.5,127.79,138818
2020-06-18,128.88,129.12,128.48,129.12,114179
2020-06-17,129.68,129.99,128.84,128.88,157282
2020-06-16,130.7,131.27,128.56,129.6,168979
2020-06-15,126.17,128.22,125.245,127.4,188008
2020-06-12,128.15,128.36,126.49,127.82,241555
2020-06-11,127.38,127.8878,123.83,124.44,266884
2020-06-10,131.15,131.81,130.43,131.01,158378
2020-06-09,130.0,131.09,129.62,130.59,195841
2020-06-08,131.86,132.13,130.79,132.07,189468
2020-06-05,130.12,132.0,130.12,131.1,238874
2020-06-04,127.51,129.08,127.51,128.16,197045
2020-06-03,128.05,129.25,127.58,128.73,237057
2020-06-02,126.39,127.12,125.95,126.48,237883
2020-06-01,124.9,126.84,124.7526,126.45,233547
2020-05-29,125.94,126.25,124.71,126.01,269315
2020-05-28,129.19,129.32,128.11,128.36,341751
2020-05-27,126.41,126.97,124.84,126.81,330230
2020-05-26,123.05,124.36,122.71,124.11,378831
2020-05-22,117.99,118.06,117.12,117.56,132095
2020-05-21,118.87,119.13,117.52,117.95,132277
2020-05-20,119.84,120.33,119.27,119.82,162627
2020-05-19,119.29,119.68,118.22,118.22,220565
2020-05-18,118.46,119.75,118.1,119.47,236273
2020-05-15,116.2,117.35,116.11,116.89,179142
2020-05-14,116.0,117.06,115.1884,116.95,255298
2020-05-13,119.83,119.83,117.01,117.76,340451
2020-05-12,121.54,122.395,120.05,120.17,355267
2020-05-11,123.22,123.87,122.96,123.62,179142
2020-05-08,121.98,123.545,121.96,123.1,216226
